,ID,Drug,Resistant,Lineage
8800,1773.21428_sus,pas,0,2.2.1
8813,1773.21245_sus,pas,0,2.2.1
8839,1773.21547_sus,pas,0,2.2.1
8852,1773.21343_sus,pas,0,2.2.1
8865,1773.21381_sus,pas,0,2.2.1
8878,1773.21426_sus,pas,0,2.2.1
8904,1773.21412_sus,pas,0,2.2.1
8930,1773.21263_sus,pas,0,2.2.1
8943,1773.21178_sus,pas,0,2.2.1
8982,1773.21286_sus,pas,0,2.2.1
9021,1773.21180_sus,pas,0,2.2.1
9034,1773.21198_sus,pas,0,2.2.1
9047,1773.21226_sus,pas,0,2.2.1
9060,1773.21260_sus,pas,0,2.2.1
9073,1773.21210_sus,pas,0,2.2.1
9086,1773.21325_sus,pas,0,2.2.1
9112,1773.21543_sus,pas,0,2.2.1
9151,1773.21365_sus,pas,0,2.2.1
9164,1773.21184_sus,pas,0,2.2.1
9177,1773.21433_sus,pas,0,2.2.1
9190,1773.21566_sus,pas,0,2.2.1
9216,1773.21229_sus,pas,0,2.2.1
9229,1773.21218_sus,pas,0,2.2.1
9242,1773.21248_sus,pas,0,2.2.1
9268,1773.21189_sus,pas,0,2.2.1
9281,1773.21194_sus,pas,0,2.2.1
9307,1773.21544_sus,pas,0,2.2.1
9320,1773.21328_sus,pas,0,2.2.1
9333,1773.21431_sus,pas,0,2.2.1
9346,1773.21300_sus,pas,0,2.2.1
9359,1773.21490_sus,pas,0,2.2.1
9372,1773.21478_sus,pas,0,2.2.1
9385,1773.21220_sus,pas,0,2.2.1
9424,1773.21203_sus,pas,0,2.2.1
9437,1773.21317_sus,pas,0,2.2.1
9450,1773.21376_sus,pas,0,2.2.1
9463,1773.21550_sus,pas,0,2.2.1
9476,1773.21573_sus,pas,0,2.2.1
9502,1773.21519_sus,pas,0,2.2.1
9515,1773.21484_sus,pas,0,2.2.1
9528,1773.21565_sus,pas,0,2.2.1
9554,1773.21322_sus,pas,0,2.2.1
9580,1773.21362_sus,pas,0,2.2.1
9593,1773.21441_sus,pas,0,2.2.1
9632,1773.21493_sus,pas,0,2.2.1
9645,1773.21421_sus,pas,0,2.2.1
9684,1773.21268_sus,pas,0,2.2.1
9697,1773.21224_sus,pas,0,2.2.1
9710,1773.21374_sus,pas,0,2.2.1
9723,1773.21298_sus,pas,0,2.2.1
9775,1773.21422_sus,pas,0,2.2.1
9801,1773.21350_sus,pas,0,2.2.1
9840,1773.21231_sus,pas,0,2.2.1
9866,1773.21212_sus,pas,0,2.2.1
9892,1773.21276_sus,pas,0,2.2.1
9905,1773.21327_sus,pas,0,2.2.1
9918,1773.21261_sus,pas,0,2.2.1
9931,1773.21316_sus,pas,0,2.2.1
9944,1773.21344_sus,pas,0,2.2.1
9957,1773.21318_sus,pas,0,2.2.1
9970,1773.21262_sus,pas,0,2.2.1
9983,1773.21280_sus,pas,0,2.2.1
9996,1773.21342_sus,pas,0,2.2.1
10009,1773.21277_sus,pas,0,2.2.1
10022,1773.21336_sus,pas,0,2.2.1
10035,1773.21502_sus,pas,0,2.2.1
10048,1773.21413_sus,pas,0,2.2.1
10074,1773.21331_sus,pas,0,2.2.1
10087,1773.21520_sus,pas,0,2.2.1
10100,1773.21251_sus,pas,0,2.2.1
10269,BORA_4,pas,0,2.2.1
10295,BORA_6,pas,0,2.2.1
10360,1324249.3_sus,pas,0,2.2.1
10412,1324289.3_sus,pas,0,2.2.1
10516,1402599.3_sus,pas,0,2.2.1
10607,1400895.3_sus,pas,0,2.2.1
10633,1408964.4_sus,pas,0,2.2.1
10711,1773.18286_sus,pas,0,2.2.1
10802,1773.18190_sus,pas,0,2.2.1
12544,1479150601544T896015lib5742nextseqn0051151bp,pas,0,2.2.1
12596,02R1753,pas,0,2.2.1
13259,rename_mycobacterium_tuberculosis_h1856.0.variants,pas,0,2.2.1
13337,rename_mycobacterium_tuberculosis_h2300.0.variants,pas,0,2.2.1
13376,rename_mycobacterium_tuberculosis_h1329.0.variants,pas,0,2.2.1
13584,rename_mycobacterium_tuberculosis_h2581.0.variants,pas,0,2.2.1
14702,rename_mycobacterium_tuberculosis_m1397.0.variants,pas,0,2.2.1
14845,01R1505,pas,0,2.2.1
14871,SAMEA1707564,pas,0,2.2.1
14923,1479144813357T181815lib5023nextseqn0035151bp,pas,0,2.2.1
15482,1733.991_res,pas,0,2.2.1
15521,01R0774,pas,0,2.2.1
15599,1479144813357T182015lib5025nextseqn0035151bp,pas,0,2.2.1
16340,1400911.3_sus,pas,0,2.2.1
